pos,status,src,row,comment,eng.lemma,eng.inflection,swe.lemma,swe.inflection
N?,0,ACM,948,from data,Standardization,,,
N?,0,ACM,794,from data,Statistical computing,,,
N?,0,ACM,795,from data,Statistical software,,,
N?,0,ACM,742,from data,Stiff equations,,,
N?,0,ACM,796,from data,Stochastic processes,,,
N?,0,ACM,730,from data,Stochastic programming,,,
N?,0,ACM,246,from data,Store and forward networks,,,
N?,0,ICT,3259,from data,structured query language (SQL),,,
N?,0,ACM,627,from data,Studies of Program Constructs (2,3),,
N?,0,ACM,949,from data,Style guides,,,
N?,0,ACM,797,from data,Survival analysis,,,
N?,0,ICT,3323,from data,sustainable human computer interaction (sustainable HCI),,,
N?,0,ACM,156,from data,Switching theory,,,
N?,0,ICT,3335,from data,Synchronized Multimedia Integration Language (SMIL),,,
N?,0,ACM,962,from data,Synchronous interaction,,,
N?,0,ACM,974,from data,Systems,,,
N?,0,ACM,815,from data,Systems and Information Theory (E.4),,,
N?,0,ACM,887,from data,Systems and Software,,,
N?,0,ACM,904,from data,Systems issues,,,
N?,0,ACM,718,from data,Systems of equations,,,
N?,0,ICT,3354,from data,Tail-f Systems’ Network Control System (NCS),,,
N?,0,ACM,647,from data,Temporal logic,,,
N?,0,ICT,3401,from data,terrestrial trunked radio (TETRA),,,
N?,0,ACM,850,from data,Textual databases,,,
N?,0,ACM,0,from data,The ACM Computing Classification System (1998),,,
N?,0,ACM,968,from data,Theory,,,
N?,0,ACM,950,from data,Theory and methods,,,
N?,0,ACM,963,from data,Theory and models,,,
N?,0,ACM,875,from data,Thesauruses,,,
N?,0,ACM,653,from data,Thue systems,,,
N?,0,ACM,914,from data,Time management (e.g.,calendars,,
N?,0,ACM,914,from data,Time management (e.g.,schedules),,
N?,0,ACM,798,from data,Time series analysis,,,
N?,0,ICT,3461,from data,time-parallel,,,
N?,0,ICT,3453,from data,timeout|s,,,
N?,0,ICT,3469,from data,Tl-BaCaCuO,,,
N?,0,ICT,3502,from data,Train of Packet-Pairs Method (TOPP),,,
N?,0,ACM,951,from data,Training,help,,
N?,0,ACM,951,from data,Training,and documentation,,
N?,0,ICT,3505,from data,transaction level model (TLM),,,
N?,0,ACM,851,from data,Transaction processing,,,
N?,0,ACM,465,from data,Translator writing systems and compiler generators,,,
N?,0,ICT,3518,from data,transport control protocol (TCP),,,
N?,0,ICT,3519,from data,transport encapsulation security payload (TESP),,,
N?,0,ACM,777,from data,Trees,,,
N?,0,ICT,3533,from data,tromboning,,,
N?,0,ICT,3544,from data,trusted computing module (TCM),,,
N?,0,ICT,3545,from data,trusted platform module (TPM),,,
N?,0,ACM,632,from data,Type structure,,,
N?,0,ACM,917,from data,Types of Systems,,,
N?,0,ICT,3565,from data,ultrawideband (UWB),,,
N?,0,ICT,3583,from data,unified extensible firmware interface (UEFI),,,
N?,0,ICT,3584,from data,unified modeling language (UML),,,
N?,0,ICT,3585,from data,unified modeling language (UML),,,
N?,0,ICT,3591,from data,universal mobile telecommunications system (UMTS),,,
N?,0,ICT,3592,from data,universal plug and play (UPnP) hack,,,
N?,0,ICT,3593,from data,universal serial bus (USB),,,
N?,0,ICT,3595,from data,universal serial radio peripheral (USRP),,,
N?,0,ICT,3617,from data,usability measurements,,,
N?,0,ICT,3623,from data,user datagram protocol (UDP),,,
N?,0,ICT,3627,from data,User GeneratedContent (UGC),,,
N?,0,ACM,953,from data,User interface management systems (UIMS),,,
N?,0,ACM,936,from data,User Interfaces (2.2,1.2,,
N?,0,ACM,936,from data,User Interfaces (2.2,I.3.6),,
N?,0,ACM,905,from data,User issues,,,
N?,0,ACM,969,from data,User issues,,,
N?,0,ACM,893,from data,User profiles and alert services,,,
N?,0,ACM,952,from data,User-centered design,,,
N?,0,ACM,819,from data,User/Machine Systems,,,
N?,0,ACM,818,from data,Value of information,,,
N?,0,ICT,3680,from data,vertical-cavity surface-emitting laser (VCSEL),,,
N?,0,ICT,3681,from data,Very High Speed Integrated Circuit Hardware Description Language (VHDL),,,
N?,0,ICT,3682,from data,very large scale integrated circuit (VLSI) implementation,,,
N?,0,ACM,935,from data,Video (e.g.,tape,,
N?,0,ACM,935,from data,Video (e.g.,disk,,
N?,0,ACM,935,from data,Video (e.g.,DVI),,
N?,0,ACM,925,from data,Videotex,,,
N?,0,ACM,954,from data,Voice I/O,,,
N?,0,ACM,760,from data,Volterra equations,,,
N?,0,ACM,692,from data,Wavelets and fractals,,,
N?,0,ACM,964,from data,Web-based interaction,,,
N?,0,ACM,897,from data,Web-based services,,,
N?,0,ICT,3763,from data,WebSocket,,,
N?,0,ACM,955,from data,Windowing systems,,,
N?,0,ICT,3812,from data,WLAN in Disaster Emergency Response (WIDER) project,,,
N?,0,ACM,915,from data,Word processing,,,
N?,0,ACM,916,from data,Workflow management,,,
N?,0,ICT,3830,from data,Worldwide Interoperability for Microwave Access (WiMAX),,,
N?,0,ICT,3840,from data,Xen virtualization,,,
N?,0,ICT,3841,from data,XML Schema Definition (XSD),,,
N?,0,ICT,3842,from data,Yahoo! Cloud Service Benchmark (YCSB),,,
N?,0,ICT,3843,from data,YBa2Cu3O7-8,,,
N?,0,ICT,3844,from data,YBa2Cu3O7-delta (YBCO),,,
N?,0,ICT,3846,from data,Yet Another Json Library (YAJL),,,
N?,0,ICT,3850,from data,zero Correlation Zone (ZCZ),,,
