English lemma,Swedish lemma,POS,status
hyperledger,distribuerad liggare,,english misspelt
double regulated  turbine,dubbelreglerad  turbin,,english misspelt
hybrid automaton,hybrid automaton,,swedish misspelt
sustainable solutions for wireless technology,hållbara lösningar för trådlös teknologi,,english misspelt
automatic hyperparameter tuning,automatisk hyperparameterreglering,,english misspelt
runtime control,körtidsreglering,,english misspelt
traction motors,traktionsmotor,,swedish misspelt
electric machine fem simulation,fem simulering,,english misspelt
estimation of current and control angle,skattning av ström och styrvinkel,,english misspelt
multi-objective optimization,multi-objektiv optimering,,english misspelt
probabilistic machine learning,probabilistisk maskininlärning,,swedish misspelt
variational recurrent neural network,variational recurrent neural network,,both misspelt
approach and avoidance behaviour,approach and avoidance behaviour,,both misspelt
multi-agent systems,multi-agent system,,english misspelt
bayesian confidence propagating neural network,bayesian confidence propagating neural network,,swedish misspelt
electro-magnetics,elektromagnetik,,both misspelt
eigenfrequency,eigen frekvens,,both misspelt
multi-body dynamics,flerkropps dynamik,,english misspelt
rendezvous routing,rendezvous routing,,swedish misspelt
adobe acrobat,adobe acrobat,,swedish misspelt
ldap,ldap,,both misspelt
modding aids,moddningshjälpmedel,,both misspelt
battery management system,bms,,swedish misspelt
multi-task model,multitask-modell,,english misspelt
latent-space modulation,latent-space-modulering,,swedish misspelt
cloud based it system,molnbaserat it-system,,swedish misspelt
temperature and relative humidity sensor,temperatur- och relativ fuktighetssensor,,english misspelt
transient earth voltage antenna,transient jordspänningsantenn,,swedish misspelt
monocular images,monokulära bilder,,english misspelt
monocular depth prediction,monokulär djupförutsägelse,,english misspelt
resnet,resnet,,both misspelt
monocular visual odometry,monokulär visuell odometri,,both misspelt
microservice,mikrotjänst,,english misspelt
monte carlo,monte carlo,,both misspelt
geometric brownian motion,geometric brownian motion,,both misspelt
random walks,random walks,,swedish misspelt
microservices architecture,mikroservices arkitekektur,,both misspelt
rest api,restful api,,both misspelt
graph search,graph search,,swedish misspelt
ai art,ai-konst,,swedish misspelt
creative ai,kreativ ai,,swedish misspelt
text-to-image generation,text-till-bild-generering,,english misspelt
multi-agent reinforcement learning,multi-agent reinforcement learning,,both misspelt
financial networks,financial networks,,swedish misspelt
financial graphs,financial graphs,,swedish misspelt
computational economics,computational economics,,swedish misspelt
multi-agent coordination,samordning av flera agenter,,english misspelt
multi-agent system,multiagentsystem,,english misspelt
interactive presentations,interaktiva presenationer,,swedish misspelt
self- supervised learning,själv-övervakad inlärning,,english misspelt
hubert,hubert,,both misspelt
unispeech,unispeech,,both misspelt
unispeech-sat,unispeech-sat,,both misspelt
wavlm,wavlm,,both misspelt
elearning,elearning,,both misspelt
collision detection and resolution,kollisionsdetektering och lösning,,english misspelt
open university of tanzania,open university of tanzania,,both misspelt
multimodal machine learning,multimodal maskininlärning,,english misspelt
multimodal retrieval,multimodal informationssökning,,english misspelt
multi-modal learning,multimodal inlärning,,english misspelt
neural bagof- words model,neural väskamed- ord-modell,,both misspelt
multiparty systems,flerpartssystem,,english misspelt
microfluidics,mikrofluidika,,both misspelt
microarray,mikroarray,,both misspelt
ostemer,ostemer,,both misspelt
biosticker,biosticker,,english misspelt
multiplexed,multiplexade,,both misspelt
multi-scale representation learning,flerskalig representationsinlärning,,both misspelt
fuss-free network,fuss-free nätverk,,swedish misspelt
multi-tenancy,multi-tenancy,,both misspelt
multi-tenancy isolation,multi-tenancy isolation,,both misspelt
multi-tenancy,multi-hyresrätt,,english misspelt
airpal,airpal,,both misspelt
proxy servlet,proxy servlet,,both misspelt
musical instrument recognition,musikintrumentsigenkänning,,swedish misspelt
audio classication,ljudklassicering,,both misspelt
scattering transform,scattering transform,,swedish misspelt
multi-stage ranking,dubbelriktade ranking,,both misspelt
nfc alternative,nfc-alternativ,,both misspelt
crossplatform,multiplatform,,both misspelt
machine to machine  service,maskin till maskin  tjänster,,english misspelt
video streaming service,videostreamingtjänster,,swedish misspelt
quality of experience,kvalitet på erfarenhet,,english misspelt
backhaul,returtrafik,,english misspelt
ncs,ncs,,swedish misspelt
cpu offloading,cpu avlastning,,swedish misspelt
verilog,verilog,,both misspelt
xilinx 7 series,xilinx 7 series,,both misspelt
sudan traceroute,sudan traceroute,,both misspelt
paris traceroute,paris traceroute,,both misspelt
amazon ec2,amazon ec2,,both misspelt
xen,xen,,both misspelt
wdn,wdn,,both misspelt
cps,cps,,swedish misspelt
multi-access edge computing,multi-access edge computing,,both misspelt
flow disaggregation,flödesdisaggregering,,both misspelt
multimodal learning,multimodal inlärning,,english misspelt
mask r-cnn,mask r-cnn,,both misspelt
design-for-all,design-för-alla,,english misspelt
analytic hierarchy process,analytic hierarchy process,,swedish misspelt
ahp,ahp,,both misspelt
reportingsystems,rapporteringssystem,,english misspelt
trello,trello,,both misspelt
human activity recognition,human activity recognition,,swedish misspelt
outofdistribution detection,outofdistribution detection,,both misspelt
distributed algorithm,distribuerad algorithm,,swedish misspelt
mmog,mmog,,both misspelt
locate servers,lokalisera servrar,,swedish misspelt
polygon creation,polygon skapning,,swedish misspelt
mixed-criticality system,mixed-criticality system,,swedish misspelt
real-time linux,realtid linux,,swedish misspelt
hardware-in-theloop,hårdvara-in-the-loop,,swedish misspelt
time demand analysis,tidskrävnings analys,,swedish misspelt
non-invasive detection,icke - invasiv upptäckt,,swedish misspelt
openpose,openpose,,both misspelt
conformal prediction,konform förutsägelse,,english misspelt
normalized conformal prediction,normaliserad konform förutsägelse,,english misspelt
smartphone usage,mobilanvändning,,english misspelt
inter time,inter-time,,swedish misspelt
dmosfet,dmosfet,,both misspelt
4h-sic,4h-sic,,both misspelt
wide bandgap,bredbandgap,,english misspelt
10 kv,10 kv,,swedish misspelt
nim,nim,,swedish misspelt
rhm,pim,,both misspelt
backward- wave propagation,bakåtvåg-utbredning,,english misspelt
lhm,lhm,,both misspelt
artifical neural networks,artificiella neurala nätverk,,both misspelt
dataset,dataset,,english misspelt
augmentation,augmentation,,swedish misspelt
psuedolabel,psuedomarkering,,both misspelt
tiling,kakling,,swedish misspelt
constrained nodes,constrained nodes,,swedish misspelt
constrained application protocol,constrained application protocol,,swedish misspelt
object security,object security,,swedish misspelt
reachability analysis,nåbarhetsanalys,,english misspelt
ocpp,ocpp,,both misspelt
connectorid,anslutningsid,,english misspelt
chargeboxidentity,laddningsboxid,,english misspelt
deinterleaving,pulssortering,,english misspelt
euv lithography,euv litografi,,both misspelt
euv pellicle,euv pellicle,,both misspelt
multiple-connection server,server med flera anslutningar,,swedish misspelt
hemt,hemt,,both misspelt
dynamic rdson,dynamisk rdson,,both misspelt
latent dirichlet allocation,latent dirichlet allocation,,both misspelt
labeled latent dirichlet allocation,labeled latent dirichlet allocation,,both misspelt
online variational bayes for lda,online variational bayes for lda,,both misspelt
multi-labeled,multi-labeled,,both misspelt
recommendations,recommendations,,swedish misspelt
variational inference,variational inference,,both misspelt
mls,mls,,swedish misspelt
dysgraphia,dysgrafi,,swedish misspelt
bvsco-2,bvsco-2,,both misspelt
geospatial features,geospatiala variabler,,english misspelt
vor system,vor systemet,,both misspelt
efie,efie,,both misspelt
mom,mom,,swedish misspelt
rwg,rwg,,both misspelt
knowledge graph embeddings,kunskapsgrafinbäddningar,,english misspelt
finegrained visual classification,finkornad visuell klassificering,,english misspelt
onestage classifier,klassificering i ett steg,,english misspelt
icrh,icrh,,both misspelt
rf,rf,,swedish misspelt
fokker-planck equation,fokker-planck-ekvationen,,both misspelt
fokker-planck solver,fokker-planck-lösare,,both misspelt
quasilinear operator,kvasilinjär operator,,both misspelt
coulomb collision,coulombkollisioner,,swedish misspelt
model recomputation,omberäkning av modeller,,english misspelt
ipsm,ipsm,,both misspelt
online estimation,online uppskattning,,swedish misspelt
multichannel,multikanal,,english misspelt
unsupervised domain adaptation,unsupervised domain adaptation,,swedish misspelt
curriculum learning,curriculum learning,,swedish misspelt
clear2rain,clear2rain,,both misspelt
self-supervised learning,self-supervised learning,,swedish misspelt
online learning,online learning,,swedish misspelt
gradient descent with restarts,gradientnedstigning med omstart,,both misspelt
nnu-net,nnu-net,,both misspelt
soldering bridge fault,lödbronfel,,swedish misspelt
model predictive control,modell predictive control,,swedish misspelt
multivariable systems,multivariabla system,,english misspelt
thermal model of electric machines,termiska modeller av elektriska maskiner,,english misspelt
k-means,k-means,,swedish misspelt
optimiza- tion,optimering,,english misspelt
task automatization,automatisering,,english misspelt
edge computing,edge computing,,swedish misspelt
eurostag,eurostag,,english misspelt
tokamak,tokamak,,swedish misspelt
divertor,avledare,,english misspelt
pucch format,pucch-format,,both misspelt
monte carlo tree search,monte carlo tree search,,both misspelt
b-splines,b-splines,,swedish misspelt
indoor uav,inomhus-uav,,both misspelt
crisis and disaster management,kris- och katastrofhantering,,english misspelt
usability evaluation,anvandbarhetstestning,,swedish misspelt
genre-based video transcoding,genrebaserad videotranskodering,,both misspelt
low bitrate,låg bithastighet,,english misspelt
x265,x265,,both misspelt
horizontal pod autoscaler,horizontal pod autoscaler,,both misspelt
workloadprediction,förutsägelse avarbetsbelastning,,english misspelt
bm25,bm25,,both misspelt
learning to rank,maskininlärning för rangordning,,english misspelt
epg,epg,,both misspelt
constraint satisfaction problem,constraint satisfaction problem,,swedish misspelt
high-level sythnesis,high-level sythnesis,,both misspelt
algorithm-level synthesis,algoritm-nivå synthesis,,swedish misspelt
constraint programming,constraint programmering,,swedish misspelt
isoscore,isoscore,,both misspelt
bof,bof,,both misspelt
slopping,slopping,,swedish misspelt
xamarin,xamarin,,both misspelt
ott video-oriented,ott video-orienterade,,both misspelt
long short-term memory recurrent neural networks,long short-term memory recurrent neural networks,,swedish misspelt
auto-encoder,auto-encoder,,both misspelt
principal component analysis,principal component analysis,,swedish misspelt
multi-device algorithms,algoritmer för flera enheter,,english misspelt
out-of-distribution detection,anomalidetektion,,english misspelt
voxel representation,voxelrepresentation,,both misspelt
tobalaba,tobalaba,,both misspelt
energy asset,energi tillgån,,swedish misspelt
online services,onlinetjänster,,swedish misspelt
gecode,gecode,,both misspelt
query systems,query system,,swedish misspelt
parallelism,parallelism,,swedish misspelt
incremental computation,inkrementella beräkningar,,swedish misspelt
hooke and jeeves,hooke och jeeves,,both misspelt
lpi,lpi,,both misspelt
simulation of urban mobility,simulation of urban mobility,,both misspelt
dc breaker,dc brytare,,swedish misspelt
bulgaria,bulgarien,,swedish misspelt
online workshop,online workshop,,swedish misspelt
stockholm-arlanda airport,stockholm-arlanda flygplats,,english misspelt
loop theory,loopteorin,,swedish misspelt
iot device,iot-enhet,,both misspelt
urban transport,local transport,,swedish misspelt
1-trailer kinematic model,kinematisk modell med en lastbil,,both misspelt
linear quadratic regulator,linear quadratic regulator,,swedish misspelt
cardiovascular models,kardiovaskuläramodeller,,swedish misspelt
multi-variate time series,multivariatatidsserier,,both misspelt
multitarget regression,multi-target regression,,both misspelt
hdbscan,hdbscan,,both misspelt
k-medoids,k-medoids,,both misspelt
swimming millirobot,simmande millirobot,,english misspelt
portable document format,portable document format,,swedish misspelt
cosine similarity,cosine similarity,,swedish misspelt
document preprocessing,dokument förhandling,,english misspelt
loredge,loredge,,english misspelt
pedestrianto- vehicle,fotgängare-till-fordon,,english misspelt
in-vehicle infotainment system,infotainmentsystem i fordon,,swedish misspelt
android automotive,android automotive,,swedish misspelt
iot penetration testing,iot penetrationstestning,,both misspelt
mitm attack,mitm-attack,,both misspelt
gps spoofing,gps-spoofing,,swedish misspelt
crazyradio,crazyradio,,english misspelt
mousejack,mousejack,,both misspelt
enhanced shockburst,enhanced shockburst,,both misspelt
saia,saia,,both misspelt
firmware,firmware,,swedish misspelt
presence of others,närvaro av människor,,english misspelt
procedural,procedurell,,swedish misspelt
fourier transform,fouriertransform,,swedish misspelt
quality of experience,upplevelsekvalitet,,english misspelt
in-vehicle communication,in-vehicle communication,,swedish misspelt
adas,adas,,swedish misspelt
avb,avb,,both misspelt
sd-wan,sd-wan,,swedish misspelt
mpls,mpls,,both misspelt
load balancing,load balancing,,swedish misspelt
traffic shaping,traffic shaping,,swedish misspelt
kriging,kriging,,both misspelt
apache ray,apache ray,,swedish misspelt
geostatistics,geostatistik,,english misspelt
attention,attention,,swedish misspelt
end-to-end,end-to-end,,swedish misspelt
conformer,conformer,,both misspelt
on- device inference,on- device slutledning,,both misspelt
swiftui,swiftui,,both misspelt
uikit,uikit,,both misspelt
frrouting,frrouting,,both misspelt
border gateway protocol,border gateway protocol,,swedish misspelt
route server,route server,,swedish misspelt
internet exchange points,internet exchange points,,swedish misspelt
rayleigh,rayleigh,,swedish misspelt
rician,rician,,both misspelt
spectral efficiency,spectral effektivitet,,swedish misspelt
uncrewed aerial vehicles,obemannade flygfordon,,english misspelt
progressive web applications,progressiva webbapplikationer,,swedish misspelt
qr code scanning,qr-skanning,,both misspelt
continuous integration and continuous delivery,continuous integration and continuous delivery,,both misspelt
github actions,github actions,,both misspelt
development and operations,development and operations,,both misspelt
roc,roc,,swedish misspelt
dpdk,dpdk,,both misspelt
multithreading,multitrådning,,both misspelt
ngn,ngn,,both misspelt
hss,hss,,swedish misspelt
comix,comix,,both misspelt
esp 32,esp 32,,swedish misspelt
sha-2,sha-2,,both misspelt
ipv6 routing protocol for low-power and lossy networks,ipv6 routing protocol for low-power and lossy networks,,both misspelt
packet delivery ratio,packet delivery ratio,,swedish misspelt
hg-dagger,hg-dagger,,swedish misspelt
behavior cloning,behavior cloning,,swedish misspelt
torcs,torcs,,both misspelt
kotlin multiplatform mobile,kotlin multiplatform mobile,,both misspelt
garbage collection,garbage collection,,swedish misspelt
containerisation,containerisering,,english misspelt
google kubernetes engine,google kubernetes engine,,both misspelt
autoscaling,autoskalning,,english misspelt
horizontal pod autoscaling,horisontell pod-autoskalning,,both misspelt
vertical pod autoscaling,vertikal pod-autoskalning,,both misspelt
hybrid pod autoscaling,hybrid pod-autoskalning,,both misspelt
wi-fi 8,wi-fi 8,,both misspelt
multi-link operation,multi-länk operation,,english misspelt
tcp congestion control,överbelastningskontroll i tcp,,swedish misspelt
mac layer,mac lagret,,swedish misspelt
serverless architecture,serverlös arkitektur,,both misspelt
queueing theory,queuing theory,,swedish misspelt
modularity,modularitet,,both misspelt
dae,dae,,both misspelt
nldae,nldae,,both misspelt
dncnn,dncnn,,both misspelt
tether,tether,,swedish misspelt
declarative data fetching,deklarativ datahämtning,,swedish misspelt
representational state transfer,representational state transfer,,swedish misspelt
falcor,falcor,,both misspelt
in-band full duplex,inomband hel duplex,,swedish misspelt
mmwave bands,millimetervågsfrekvenser,,english misspelt
non-relational databases,icke-relationella databaser,,swedish misspelt
number of records,datamängd,,english misspelt
vectorization,vektorisering,,both misspelt
dsp,dsp,,both misspelt
iir,iir,,both misspelt
ran,ran,,swedish misspelt
packet processing,packet processing,,swedish misspelt
mobile apps,mobila appar,,english misspelt
principle of least privilege,princip om lägst privilegium,,english misspelt
ebios,ebios,,both misspelt
personalized federated learning,personaliserad federad inlärning,,swedish misspelt
deepmimo,deepmimo,,both misspelt
non-iid,icke-iid,,both misspelt
sms,sms,,swedish misspelt
silent switcher,silent switcher,,swedish misspelt
pll synthesizer,pll-synthesizer,,both misspelt
pcb implementation,pcb-implementering,,both misspelt
9-armchair graphene nanoribbons,9-armchair grafen nanoribbons,,both misspelt
polarization raman spectroscopy,polarisation raman spektroskopi,,both misspelt
temperature-dependent raman spectroscopy,temperaturberoende raman spektroskopi,,both misspelt
anharmonicities,anharmoniciteter,,both misspelt
d,d,,swedish misspelt
silicon photonics,kiselfotonik,,both misspelt
ring modulator,ringmodulator,,english misspelt
electro-absorption modulator,elektroabsorptionsmodulator,,english misspelt
optical modulator,optisk modulator,,english misspelt
lagrangian neural networks,lagrangianska neurala nätverk,,both misspelt
piezoelectricity,piezoelektricitet,,swedish misspelt
p-sshi,p-sshi,,both misspelt
solution selling,solution selling,,swedish misspelt
insight selling,insight selling,,swedish misspelt
sales trends,sales trends,,swedish misspelt
business process modelling,business process modelling,,swedish misspelt
customer relationship management,customer relationship management,,swedish misspelt
marketing management,marketing management,,swedish misspelt
online communities,onlinenätverk,,swedish misspelt
dashboards,dashboards,,swedish misspelt
actuator,aktuator,,swedish misspelt
cryocooler,kryokylare,,english misspelt
openplume ep,openplume ep,,both misspelt
plutt,plutt,,english misspelt
microfrontends,mikrofrontends,,both misspelt
semantic versioning,semantisk versionering,,both misspelt
lock-step deployments,lock-step deployments,,swedish misspelt
access transparency,access transparency,,swedish misspelt
privacy preservation,sekretessskydd,,swedish misspelt
web services,web services,,swedish misspelt
mixed-criticality,mixed-criticality,,swedish misspelt
indoor positioning system,inomhuspositioneringssystem,,swedish misspelt
aws cloud services,aws molntjänster,,both misspelt
magnetoresistance,magnetoresistive,,both misspelt
ocr,ocr,,both misspelt
ocr post-processing,efterbehandling för ocr,,both misspelt
ocr post-correction,post-korrigering för ocr,,both misspelt
nmt,nmt,,both misspelt
hybrid distribution transformer,hybrid distrubitionstransformator,,swedish misspelt
algorithm,algorithm,,swedish misspelt
giskard,giskard,,both misspelt
hyperledger sawtooth,hyperledger sawtooth,,both misspelt
dc servo loop,dc servo loop,,swedish misspelt
composability,fpga,,both misspelt
multicore processing,komposibilitet,,both misspelt
real- time systems,realtidssystem,,english misspelt
system on chip,system på chip,,swedish misspelt
sentiment forecasting,sentiment förutsägning,,swedish misspelt
recurrent neural nets,recurrenta neurala nät,,swedish misspelt
e-mails,e-mails,,swedish misspelt
gradient boosting classifier,gradient boosting classifier,,swedish misspelt
6g scheduling,6g-schemaläggning,,english misspelt
uplink traffic prediction,uplink traffic prediction,,swedish misspelt
imbalanced datasets,obalanserade dataset,,english misspelt
long short term memmory,long short term memmory,,both misspelt
gaussian mixture models,gaussian mixture models,,swedish misspelt
decision tree classifier,decision tree classifier,,swedish misspelt
nowcasting,nowcasting,,both misspelt
artificial neural networks,artificiella neurala nätverk,,swedish misspelt
machine learning,machine learning,,swedish misspelt
resolution time,resolution time,,swedish misspelt
solve time,solve time,,swedish misspelt
tv cases,tv cases,,swedish misspelt
trouble tickets,trouble tickets,,swedish misspelt
crm system,crm-system,,both misspelt
predictive maintenance,prediktivt underhåll,,swedish misspelt
cloud native,cloud native,,swedish misspelt
predictive scaling,prediktiv skalning,,swedish misspelt
cpu usage,cpu användning,,swedish misspelt
seasonality,säsongsmässighet,,english misspelt
gathering of customer reviews,insamling av användaråsikter,,english misspelt
pld method,pld-metoden,,both misspelt
piezoelectric thin film,piezoelektrisk tunnfilm,,swedish misspelt
onion routing,lök-routing,,swedish misspelt
tor organization,tor organisation,,swedish misspelt
wi-fi data collection,wifidatainsamling,,both misspelt
cheminformatics,keminformatik,,english misspelt
collateralized loan obligation,collateralized loan obligation,,swedish misspelt
mpc,mpc,,both misspelt
ubiquitous computing,ubika datasystem,,swedish misspelt
iuipc model,iuipc ramverket,,both misspelt
gradient share,gradientdelning,,swedish misspelt
privacy and security,integritetssäkerhet,,english misspelt
abs,abs,,swedish misspelt
mobile-crowdsensing,mobil-crowdsensing,,both misspelt
moments accountant,moments accountant,,swedish misspelt
markov modeling,markov -modellering,,swedish misspelt
sim,sim,,english misspelt
proxy,proxy,,swedish misspelt
timed petrinets,time petri nets,,both misspelt
probabilistic life cycle cost,probabilistisk livscykelkostnad,,swedish misspelt
monte carlo simulation,monte carlo-simulering,,both misspelt
markov chain,markovkedja,,swedish misspelt
trajectory tracking,trajektorieuppföljning,,swedish misspelt
predictive estimation,prediktiv uppskattning,,swedish misspelt
jupiter,jupiter,,swedish misspelt
hubble space telescope,hubbleteleskopet,,swedish misspelt
github copilot,github copilot,,both misspelt
codepal,codepal,,both misspelt
procedural modeling,procedurell modellering,,swedish misspelt
wear and tear,slitage,,english misspelt
eye-tracking,eye tracking,,swedish misspelt
entrepreneurship,entreprenörskap,,english misspelt
start-up,start-up,,swedish misspelt
deep neural network accelerators,deep neural network accelerators,,swedish misspelt
programmatic buying,programmatisk handel,,english misspelt
traffic optimization,google adwords,,swedish misspelt
supply-side-platform,cpm,,swedish misspelt
online marketing,cost-per-mille,,swedish misspelt
google adwords,ssp,,both misspelt
gcp,gcp,,both misspelt
proof of concept,proof of concept,,both misspelt
analytical hierarchy process,analytical hierarchy process,,swedish misspelt
obfuscation,obfuskering,,swedish misspelt
scorx,scorx,,both misspelt
multi-track premium music score player,multi-track premium music score player,,both misspelt
adobe edge animate,adobe edge animate,,swedish misspelt
flash player,flash player,,swedish misspelt
cross-platform application,cross-platform application,,swedish misspelt
haxe,haxe,,both misspelt
battery gui,batteri gui,,swedish misspelt
forsyde,programvara för inbyggda system,,english misspelt
models of computation,forsyde,,both misspelt
gps receiver,gps mottagare,,swedish misspelt
nmea data,nmea datan,,both misspelt
1 pulse per second,1 pulse per skund,,both misspelt
radio base station,radiobassstationer,,swedish misspelt
algorithm implementation,algoritmimplementation,,swedish misspelt
ssd-mobilenetv2,sdd-mobilenet-v2,,both misspelt
polyaniline,polyanilin,,english misspelt
public service broadcasting,public service broadcasting,,swedish misspelt
streaming services,streamingtjänster,,swedish misspelt
public service media,public service media,,swedish misspelt
space vector modulation,spacevektormodulering,,swedish misspelt
non-uniform fourier transform,olikformig fouriertransform,,swedish misspelt
open services for lifecycle collaboration,open services for lifecycle collaboration,,both misspelt
tracked resource set,tracked resource set,,swedish misspelt
jira,jira,,both misspelt
message queue telemetry transport,message queue telemetry transport,,swedish misspelt
push technology,push-teknologi,,swedish misspelt
on-board units,on-board units,,swedish misspelt
denial of service,denial of service,,both misspelt
pre-authenticate,förautentisera,,english misspelt
saliency maps,saliency maps,,swedish misspelt
multiagent,multiagent,,english misspelt
windows container,windowsbehållare,,swedish misspelt
pxi,pxi,,both misspelt
windows,windows,,swedish misspelt
pzt,pzt,,both misspelt
piezoelectric thin films,tunna piezoelektriska lager,,swedish misspelt
atomic layer deposition,ald,,swedish misspelt
passivisation layer,passivering,,english misspelt
pytorch,pytorch,,both misspelt
onnx,onnx,,both misspelt
process-failure modes and effects analysis,p-fmea,,both misspelt
quantified self,quantified self,,swedish misspelt
pareto,pareto,,swedish misspelt
r,r,,swedish misspelt
partitioned database,partitionerad databas,,swedish misspelt
sql query engine,sql-förfrågningsmotor,,both misspelt
stateful serverless,stateful serverless,,both misspelt
rfid,rfid,,both misspelt
rfid limitation,rfid begränsning,,both misspelt
cakephp,cakephp,,both misspelt
webservice,webbtjänst,,both misspelt
radspire,radspire,,both misspelt
startup,startup,,swedish misspelt
narrowband,narrowband,,both misspelt
sub-ghz,sub-ghz,,swedish misspelt
rssi,rssi,,both misspelt
time-of-flight,time-of-flight,,both misspelt
leastsquares support vector machine regression,leastsquares support vector machine regression,,both misspelt
iot architectural models,iot arkitekturmodeller,,both misspelt
iot platforms,iot plattformerna,,both misspelt
machine-to-machine,maskin-tillmaskin,,english misspelt
iot-a arm,iot-a arm,,both misspelt
wso2,wso2,,both misspelt
weighted sum model,weighted sum model,,swedish misspelt
gans,gans,,english misspelt
viterbi decoder,viterbi-avkodare,,both misspelt
strongly connected trellis,starkt kopplade trellis,,swedish misspelt
convolution encoding,konvolutionskodning,,swedish misspelt
ber,ber,,english misspelt
ray-tracing,strålföljning,,swedish misspelt
phased array,fasad array,,swedish misspelt
angle of arrival,ankomstvinkel,,english misspelt
multiple signal classification,multiple signal classification,,swedish misspelt
raytracing,raytracing,,both misspelt
particle swarm optimization,particle swarm optimering,,swedish misspelt
vue,vue,,both misspelt
reactive power,reaktiv eekt,,swedish misspelt
sub-transmission level grids,mellan spanningsnivan,,swedish misspelt
power ow analysis,strom odesanalys,,both misspelt
smart grids,smarta nat,,swedish misspelt
droop control,droop control,,swedish misspelt
event based camera,event based camera,,swedish misspelt
image reconstruction,image reconstruction,,swedish misspelt
simulated data,simulated data,,swedish misspelt
firenet,firenet,,both misspelt
e2vid,e2vid,,english misspelt
network representation learning,nätverkiskt representationsinlärning,,swedish misspelt
multivariate time series classification,multivariat tidserieklassificering,,swedish misspelt
residual-based fault detection,residual-baserad feldetektering,,swedish misspelt
gaussian processes,gaussiska processer,,swedish misspelt
spectral clustering,spektral klustring,,swedish misspelt
inter-turn short circuit,interturn short circuit,,swedish misspelt
realtime systems,realtidssystem,,english misspelt
model based software development,modellbasserad mjukvaruutveckling,,swedish misspelt
realtime linux,realtids- linux,,both misspelt
xenomai cobalt,xenomai,,both misspelt
ompl,ompl,,both misspelt
moveit,moveit,,both misspelt
ur5,ur5,,english misspelt
kpiece,kpiece,,both misspelt
pdst,pdst,,both misspelt
probabilistic models,probabilistiska metoder,,swedish misspelt
ambient occlusion,ambient ocklusion,,swedish misspelt
lumped parameter thermal network,lumped parameter thermal network,,swedish misspelt
dual kalman filter,dual kalman filter,,english misspelt
dual observer,dual observer,,swedish misspelt
evidential deep learning,evidential deep learning,,swedish misspelt
upsampling,uppsampling,,english misspelt
sound and music computing,ljud-och musikberäkning,,english misspelt
music expressivity,musikexpressivitet,,english misspelt
multimodal interaction,multimodal interaktion,,english misspelt
moving target defense,moving target defense,,swedish misspelt
convolutional,faltnings,,english misspelt
recognition,igänkänning,,swedish misspelt
neural network-based collaborative filtering,neurala nätverksbaserad kollaborativ filtrering,,swedish misspelt
reconfigurable intelligent surfaces,omkonfigurerbara intelligenta ytor,,english misspelt
mkbsc,mkbsc,,both misspelt
kbsc,kbsc,,both misspelt
magiian,magiian,,both misspelt
epistemic knowledge,epistemologi,,swedish misspelt
energy dashboard,energi-dashboard,,swedish misspelt
website tools,webbplatsverktyg,,swedish misspelt
ui component,ui-komponent,,both misspelt
web protocols,webbprotokoll,,swedish misspelt
polling,polling,,swedish misspelt
vsm,vsm,,both misspelt
vvc,vvc,,both misspelt
block partitioning,blockpartitionering,,swedish misspelt
vtm,vtm,,both misspelt
sign- up,registrering,,english misspelt
sign- in,inloggning,,english misspelt
django,django,,both misspelt
websockets,websockets,,both misspelt
adversarial multi-armed bandits,kontradiktoriska flerarmade banditer,,english misspelt
self-fashioning technologies,self-fashioning teknik,,swedish misspelt
gemm,gemm,,both misspelt
cache,cache,,swedish misspelt
bayesian confidence propagating neural networks,bayesian förtroendespridande neurala nätverk,,swedish misspelt
echocardiography,ekokardiografi,,swedish misspelt
gumbel-softmax,gumbelsoftmax,,english misspelt
concrete autoencoders,concrete autoencoders,,both misspelt
deep reinforcement learning,deep reinforcement learning,,swedish misspelt
optimal control,optimal control,,swedish misspelt
hydrobatics,hydrobatics,,both misspelt
mmwave networks,mmwave-nätverk,,both misspelt
human-machine interaction,human-machine interaction,,swedish misspelt
web technologies,webteknologi,,swedish misspelt
jupyter notebook,jupyter notebook,,both misspelt
ibm operational decision manager,ibm operational decision manager,,both misspelt
live streaming,livestreaming,,swedish misspelt
point cloud registration,point cloud registrering,,swedish misspelt
iterative closest point,iterative closest point,,swedish misspelt
field data analysis,fältdatanalys,,swedish misspelt
thermal cycling test,termisk cykelstest,,swedish misspelt
fides,fides,,both misspelt
siemens sn 29500,siemens sn 29500,,both misspelt
iec 62380,iec 62380,,both misspelt
mil-hdbk-217f-notice2,mil-hdbk-217f-notice2,,both misspelt
faster region-based convolutional neural networks,snabbare regionbaserade konvolutionella neurala nätverk,,both misspelt
conformal prediction,konform prediktion,,english misspelt
synthetic aperture radar,synthetic aperture radar,,swedish misspelt
new space,new space,,swedish misspelt
field programmable gate array,field programmable gate array,,both misspelt
clojure,clojure,,both misspelt
prognostics and health management,prognostik och hälsoledning,,english misspelt
recurrent neural network,återkommande neurala nätverk,,swedish misspelt
videoconferencing,videokonferens,,english misspelt
driverless trucks,förarlösa lastbilar,,english misspelt
geodata,geodata,,english misspelt
geotools,geotools,,both misspelt
asr repair,reparation av taligenkänning,,english misspelt
repairment application,reparation applikation,,english misspelt
restful web services,restful web services,,swedish misspelt
backend implementation,backend implementation,,both misspelt
alexnet,alexnet,,both misspelt
low probability of intercept radar,low probability of intercept radar,,both misspelt
